,ID,Company,Short_Description,Detailed_Description,Submit_Date,Service_Type
3175,INC000000363005,Метахим,прошу выполнить настройку сети метахим ,прошу выполнить настройку сети метахим необходимо связать данный череповецким задействованным под систему связи регион ,1524737772,3.0
3177,INC000000363087,СОГАЗ,скорректировать распределение по стратегиям ,добрый день приоритет среднийподсистема прошу с текущего момента скорректировать перенаправление вызовов по стратегиям избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер траффика направлять на сохраняя остальные алгоритмы траффика направлять на сохраняя остальные алгоритмызаранее благодарю с уважением георгий чудаевруководитель единого контакт центраао согаз тел внутр факс единый контакт центр ,1524833352,3.0
3178,INC000000363806,ФосАгро-Регион,изменение атрибутов учетной записи телефона ,прошу изменить телефона с липчанская елена сергеевнана павлова елена сергеевна,1525700997,3.0
3179,INC000000363828,ФосАгро-Регион,расписание звонков для фосагро курск ,переведите пож та тел звонки г с с номера на номер до г ч с на тип стандартного изменения настройки переадресации ,1525786405,3.0
3180,INC000000364152,БРИЗ (Безопасные Решения Инф.Защиты),увеличить ресурсы ,необходимо увеличить ресурсы в закрытом контуре на ситриксе и аналогично открытому контуру и озу на каждую машину ,1526488641,3.0
3181,INC000000364166,ТАКСИ МОСКВА, , оченьтип стандартного изменения предоставление доступа,1526562482,3.0
3182,INC000000364168,СОГАЗ,скорректировать распределение по стратегиям ,подсистема приоритет средний 	прошу с текущего момента скорректировать перенаправление вызовов по стратегии распределение звонков через очередь по скиллам при наличии свободных операторов со скиллом или х и более свободных с избыток перенаправляем через очередь на номер приоритет 	прошу с текущего момента скорректировать перенаправление вызовов по стратегиям переадресующимся в акц с группы заменить текущий критерий переадресации при менее х свободных с переадресовывать в акц на новый при менее х свободных с переадресовывать в акц ,1526563108,3.0
3183,INC000000364013,ФосАгро-Регион,заявка на закрепление за сотрудником внутреннего н ,добрый день прошу исправить фио за внутренним номером на сысоенко а б с уважением успанова оксана владимировнаофис менеджертел группа фосагро ооо фосагро дон г ростов на дону пр т м нагибина д и оф ,1526639570,3.0
3184,INC000000364315,Америя Банк,касательно изменений ,добрый день уважаемые коллегипрошу помочь изменить записи каторый должен проигрываться в нижеописанным порядке 	приветствие 	выбор языка 	файлы из приложения 	при выборе сообщения о рабочих часах филиалов работающих по субботам файлы из приложения уважением,1526911723,3.0
3185,INC000000364691,ФосАгро-Регион,изменение имени пользователя ,добрый день прошу вас заменить имя пользователя на телефоне папина текущее имя прошу заменить на с уважением тихонов александр менеджер по продажам вн моб тел факс группа фосагро ооо фосагро липецк г липецкул п а папина д ,1527234619,3.0
3186,INC000000364707,Комплект,изменить конфигурацию роутера ,на следующих интерфейсах изменить тип стандартного изменения смена ограничения по ,1527251046,3.0
3187,INC000000364879,Метахим,внесение изменений в на площад ,необходимо оперативное внесение изменений в на площадке метахим с добавлением разрешённых адресов и ,1527573116,3.0
3188,INC000000364903,Инвитро-информационные технологии,нужен последний стабильный образ для ,добрый день из за того что не поднимается один из двух тунелей нам нужно обновить образ на но у нас нет этого образа обновление сделаем сами пришлите образ желательно до ,1527599555,3.0
3189,INC000000364959,Инвитро-информационные технологии,обновление по ,прошу передать последний стабильный софт для ,1527756185,3.0
3190,INC000000364968,Инвитро-информационные технологии, офт для ,прошу передать последний стабильный софт для ,1527766977,3.0
3191,INC000000365091,Инвитро-информационные технологии,корректный актуальный образ для ,ранее была открыта заявка на получение образа для образ не инсталлируется есть подозрение что он некорректный тк текущий образ отличается моделью нам был передан образ без вывод ' ' просьба предоставить корректный образ ,1527838085,3.0
3192,INC000000365212,Russian Commercial Bank (Cyprus) Ltd,недостаточно прав для пользователя в ,александр добрый день заметили что после того как ваши коллеги внесли изменения в перенос пользователей в домен и пр теперь при создании модификации текущего агента у пользователя недоступна возможность назначать никакие роли для агентов кроме как ранее мы могли назначить любую роль при логине пользователем все опции достуны просьба поправить ,1528108715,3.0
3193,INC000000365225,ФосАгро-Регион,настройка телефона ,согласно договора прошу для сотрудника даниил панарин настроить подключить к атс зарегистрировать приобретенный телефон распределение звонков аналогично т с уважением боев сергей евгеньевич системный администратор ооо фосагро белгород тел факс группа фосагро ооо фосагро белгород г белгородул князя трубецкого к ,1528122022,3.0
3194,INC000000365258,ТАКСИ МОСКВА,увеличение объёма почтового ящика ,прошу увеличить ящик руководителя департамента ит вешкин сергей владимирович < > гб,1528179095,3.0
3195,INC000000365277,СОГАЗ,дистрибутивы ,закинуть следующие дистрибутивы на \ ,1528201755,3.0
3196,INC000000365278,ФосАгро-Регион,изменить присвоенные номера ,сменить на номере на и на тип стандартного изменения изменение настроек присвоения имен за номером телефоном,1528202962,3.0
3198,INC000000365457,Америя Банк,новая функция ,добрый день уважаемые коллегинам нужно сделать так что во время во время звонка из города на определенный номер е канала звонки шли на внутренний номер после того как будет набран этот самый внутренний номер спасибо,1528468933,3.0
3199,INC000000365703,Рускан,[ ] ,пожалуйста оцените общее количество времени на обновление кластера включая время на возврат до первоначального состояния тип стандартного изменения обновление по на коммутаторе маршрутизаторе,1528874506,3.0
3200,INC000000365799,СОГАЗ,скорректировать стратегию ,прошу с текущего момента в стратегии избыток траффика в период с до часов направлять на сейчас идёт круглосуточно на в остальное время на остальные настройки оставить без изменения подсистема приоритет средний,1528980016,3.0
3201,INC000000365802,ФосАгро-Регион,настройка телефона ,согласно договора прошупоменяйть на телефоне с германова на борзых евгений,1528981810,3.0
3202,INC000000365805,ФосАгро-Регион,просьба выполнить настройки телефонов ,по курску просьба настройки выполнить см письмо ниже василий геннадьевич у нас изменения в тел справочнике багринцева ирина владимировна камагина наталья викторовнаи пож та измените у нас потапов евгений высвечивается потапова,1528985030,3.0
3203,INC000000365941,Рускан,настроить порт для сервера на коммутаторе ,добрый день настройте пожалуйста порт для сервера на коммутаторе используя следующие настройки заранее спасибо тип стандартного изменения изменение настроек на портах коммутатора,1529320914,3.0
3204,INC000000366210,БРИЗ (Безопасные Решения Инф.Защиты),входящие городские звонки ,просьба настроить переадресацию входящих звонки на общий номер на добавочные и тип стандартного изменения настройки переадресации ,1529590102,3.0
3205,INC000000366284,Рускан,обновление паролей на сетевых устройствах ,настроить для всех учетных записей аутентифицированных через уровень привилегий установить на всех устройствах пользователя и пароль с полными привилегиями если пользователя нету то необходимо его создать тип стандартного изменения восстановление пароля на роутере свитче,1529650058,3.0
3206,INC000000366784,ТАКСИ МОСКВА,доп диск для ,прошу добавить отдельный диск на гб для для загрузки в него бэкапов во вложении лицухи с когда всё рухнет но не должно ибо диск нужен рядом конфу не меняем ,1530182884,3.0
3208,INC000000366952,Метахим,проброс влана до площадки череповца ,добрый день прошу настроить доступ влану на площадку череповца с уважением харичев александр евгеньевичначальник отдела технической поддержки пользователейволховского обособленного подразделения ооо иц фосагро тел | | группа фосагро воп ооо инжиниринговый центр фосагро ленинградская обл г волхов кировский проспект д ,1530511627,3.0
3209,INC000000366959,Инвитро-информационные технологии,по для маршрутизатора ,необходимо по для маршрутизатора ,1530524093,3.0
3210,INC000000367891,Инвитро-информационные технологии, ,добрый день просьба предоставить последнюю стабильную версию прошивки и для тип стандартного изменения предоставление по,1531231525,3.0
3211,INC000000368297,ФосАгро-Регион,фосагро волга телефон в режиме не беспокоить ,добрый день телефон вн номер в режиме переадресации не проходят звонки на него локальный сброс ничего не дал прошу поправить ,1531817503,3.0
3212,INC000000369291,Софткей,перенастройка ов ,добрый день на е с необходимо перенастроить ы на всех портах актуальный должен быть й спасибо тип стандартного изменения добавление удаление ов,1532594799,3.0
3213,INC000000369308,ВТБ Банк Армения,сеть для пластика ,коллеги просим настроить сеть для пластика чтобы освобить спасибо ,1532672937,3.0
3214,INC000000369706,Аджиномото/АГРИ,белый список ,прошу внести в белый список [ ] и почтари выбрасывают письма в соответствии с их плохой репутацией [ ] ,1533108498,3.0
3215,INC000000370279,СОГАЗ, , [ ] [ ] [ ],1533308386,3.0
3216,INC000000370789,Russian Commercial Bank (Cyprus) Ltd,добавить код завершения в категорию ,нам необходимо добавить код завершения в категорию он должен называться ,1533648259,3.0
3217,INC000000371879,ТАКСИ МОСКВА,доступ ,дмитрий захаров [ ]для антивируса нужен доступ с подсетейдмитрий захаров [ ] на порт ,1534310759,3.0
3218,INC000000372398,ТАКСИ МОСКВА,новый сервер ,доступ необходим на входящие порты нового сервера порты старые сервера и можно глянуть отсюда подсети пк подсети серваков ,1534855400,3.0
3219,INC000000372700,Рускан, разрешение траффика , разрешение траффика необходимо открыть порты убрать временное запрещающее правило согласно приложенному документу ,1535030651,3.0
3220,INC000000372997,Комплект,изменить конфигурацию роутера ,на следующих интерфейсах изменить и добавить тип стандартного изменения смена ограничения по на оборудовании ,1535378395,3.0
3221,INC000000373003,ФосАгро-Регион,новый телефон ,добрый день необходимо ввести в эксплуатацию новый телефонный аппарат прописать пользователя каргалев иван викторович скрин шоты прикрепил мой телефон для контакта тип стандартного изменения изменение настроек присвоения имен за номером телефоном,1535388065,3.0
3222,INC000000373458,ФосАгро-Регион,сменить имя контакта телефона ,прошу установить имя контакта номера как алферов в ю системный администратор астафьев игорь организация фосагротамбов ,1535917367,3.0
3223,INC000000373462,Рускан, , необходимо открыть порты на во вложении будет документа работы назначены на сентября как только будет известен инженер выполняющий заявку я пришлю приглашение на скайп митинг телефон для связи роман ,1535956775,3.0
3224,INC000000373897,ПИОНЕР,прописать на коммутаторах малая пироговск ,коллеги вчера были установлены коммутатора с адресами и необходимо прокинуть до них они скоммутированы в коммутатор порты и ,1536301683,3.0
3225,INC000000374101,ПИОНЕР,добавить ,необходимо на кластере мск завести танковых на и создать для них зоны 	 	 	 	 	 	 нужно прописать новые на коммутаторах и добавить в на коммутаторе прописать транковые порты собрать на группы и ,1536592367,3.0
3226,INC000000374105,Рускан, применить скрипт во вложении , применить скрипт во вложении необходимо сделать сегодня в сообщите пожалуйста кто будет выполнять заявку я пришлю приглашение на скайп митинг тип стандартного изменения операции над списками доступа ,1536652391,3.0
3227,INC000000374112,СОГАЗ,изменение приоритетности звонков ,добрый день необходимо изменить приоритет звонков с на в итоге приоритет звонков и дмс будет одинаковый дмс	 	 дмс	 возврат 	 возврат дмс	 бизнес дмс	 	 дмс	 	 возврат 	 эмп	 возврат бизнес дмс	 возврат 	 возврат эмп	 возврат дмс	 с уважением копаева ольга николаевнаруководитель направления управления организации медицинской помощи дирекции по урегулированию убытков и сопровождению программ личного страхования ао согаз тел доб тел факс ,1536674251,3.0
3228,INC000000374118,Russian Commercial Bank (Cyprus) Ltd,модификация ,александр доброго времени дня вам у нас коллеги обратили внимание на то что при звонке в наш центр в ситуации когда клиент неверно вводит ему проигрывается берется из файла а должно проигрываться берется из файла или нужно посмотреть какой сейчас используется в приложении можно вас попросить заменить используемый файл именно в этом блоке ввод предлагаю сделать сначала на тестовом а потом уже на основном ,1536683931,3.0
3229,INC000000374130,Рускан, , необходимо добавить на все сетевые устройства так же необходимо добавить ограничение до тип стандартного изменения операции над списками доступа ,1536754109,3.0
3230,INC000000374173,Инвитро-информационные технологии,нужен последний стабильный образ для для коммутато ,нам необходимо поменять на коммутаторе пришлите последний стабильный образ который рекомендует производитель на эту модель,1536936921,3.0
3231,INC000000374411,Рускан, изменение в , изменение в можно выполнить в любое время предварительно сообщив тип стандартного изменения операции над списками доступа ,1537260190,3.0
3232,INC000000374418,ФосАгро-Череповец,по с ,нужна помощь в получении скачивании по с сайта на данный момент степлоджиком осуществляется поставка лицензий для данного продукта тип стандартного изменения предоставление по,1537279832,3.0
3233,INC000000374427,ФосАгро-Регион,изменить телефона по договору ,здравствуйте просьба сменить имя пользователя на стационарном телефоне внутренний номер сменить с некрасовой о а на пивоварова захара игоревича спасибо с уважением боев сергей евгеньевич,1537341644,3.0
3234,INC000000374465,ТАКСИ МОСКВА,установка по ,установка по на для администрирования тип стандартного изменения предоставление по,1537503230,3.0
3235,INC000000374685,Аджиномото/АГРИ,изменения в ,прошу внести в белый список домен и почтовый сервер в связи тем что он иногда попадает в [ ] тип стандартного изменения операции над списками доступа ,1537775423,3.0
3236,INC000000374700,ТАКСИ МОСКВА,доступ к ,просим дать доступ для учетки и непосредственно доступ к серверу нужна учетка для чтения всех таблиц и создания процедур ,1537797399,3.0
3237,INC000000374730,Комплект,изменить конфигурацию роутера ,на следующих интерфейсах изменить и добавить ,1537950558,3.0
3238,INC000000374731,Комплект,изменить конфигурацию роутера ,на следующих интерфейсах изменить и добавить ,1537951431,3.0
3239,INC000000375091,Комплект,изменить конфигурацию роутера ,на следующих интерфейсах изменить и добавить и добавить ,1538138810,3.0
3240,INC000000375194,Инвитро-информационные технологии, ,добрый день требуются актуальные стабильные версии по для оборудования тип стандартного изменения предоставление по,1538488915,3.0
3242,INC000000375300,РЕНОВА, необходима консультация ,тарас привет мне поступила задача по обновлению прошивок оборудования и как оказалось у нас нет на все ест смартнеты и скачать я не могу можешь посодействоватьнужно последнюю прошивку под и второй момент у нас есть рутер на нем можно только временную лицензию активировать как то возможно получить полноценное шифрование на нем может прошивку ему попытаться сменить хотя насколько помню там образ один а фичи лицензированием открываются ,1538661008,3.0
3243,INC000000375313,ФосАгро-Череповец,по с ,добрый день необходимо по для тестирования ,1538734535,3.0
3244,INC000000375779,Джетта Строй,настроить локальный комп новому сотруднику губиной ,настроить локальный комп новому сотруднику губиной вере,1539067453,3.0
3245,INC000000375619,Америя Банк,касательно циско ,добрый день уважаемые коллегии меня два вопроса изменить пароль администратора в калл манаджер циско и прошу помочь создать новые роли в калл манаджер циско с уважением,1539173711,3.0
3246,INC000000375652,СОГАЗ,настройка оповещения ,прошу настроить оповещение сотрудников приказчикова артема викторовича и массино виктории викторовны по следующим событиям с соответствующим текстом ожидание в очереди группы более минут ожидание в очереди группы более минут внимание звонок в очереди более сек внимание звонок в очереди более сек ожидание в очереди группы более минут ожидание в очереди группы более минут ожидание в очереди группы более минут рассылку необходимо направлять на адреса и ,1539351518,3.0
3248,INC000000376292,ВТБ Банк Армения,сайт ,коллеги не открывается сайт просим разобраться спасибо ,1539754335,3.0
3249,INC000000376380,ТАКСИ МОСКВА,доступ до сервера ,прошу предоставить доступ до сервера по из сети хтакже предоставить доступ до этого сервера следующим учетным записям 	сергей орлов 	дмитрий улановскийдоступ необходим для удаления ненужных файлов с файлового хранилища ,1539766704,3.0
3250,INC000000376381,ТАКСИ МОСКВА,предоставить доступ по до сервера ,прошу предоставить доступ до сервера по из сети х,1539767124,3.0
3251,INC000000376322,ВТБ Банк Армения, ,коллеги просим на здании хоренаци стереть все не нужные конфиги на спасибо ,1539940927,3.0
3252,INC000000376323,ВТБ Банк Армения, ,коллеги для сотрудников иб нужно в системе открыть пользователя с правами спасибо ,1539940949,3.0
3253,INC000000376358,СОГАЗ,не правильное отображение в ,агенты кошелева ксения отображается как ксения к должно быть кошелева ккувальцева екатерина отображается как екатерина к должно быть кувальцева е,1540279060,3.0
3254,INC000000376600,ВТБ Банк Армения, ,коллеги просим настроить банка так что номер который зао веон армения с начиная с должен перекинуть на наш канал по номеру спасибо ,1540457911,3.0
3255,INC000000376604,Инвитро-информационные технологии,запрос на последнюю стабильную версиб для с ,коллеги день добрый просьба предоставить последнюю стабильную версию для обновления стека коммутаторов ,1540463158,3.0
3256,INC000000376616,ФосАгро-Регион,смена на маршрутизаторе ,в связи со сменой провайдера прошу поменять на маршрутизаторе с на присваивается по время смены согласовать со мнойс уважением боев сергей евгеньевич системный администратор ооо фосагро белгород тел факс ,1540535745,3.0
3257,INC000000376868,ФосАгро-Регион,переадресация звонков ,убедительная просьба ноября г перевести входящие звонки с номера на номер в связи с праздничным днем звонки с ноября перевести с номера на ,1541165600,3.0
3258,INC000000376878,ФосАгро-Регион,переадрессация звонков ,добрый день просим вас перевести звонки с номера на с уважением фосагро курск тип стандартного изменения изменение переадресации,1541488698,3.0
3259,INC000000377383,Комплект,изменить конфигурацию роутера ,на следующих интерфейсах изменить тип стандартного изменения смена ограничения по на оборудовании ,1541509952,3.0
3260,INC000000377386,СОГАЗ,скорректировать распределение по стратегии ,добрый день подсистема приоритет среднийпрошу с произвести перенаправление вызовов по стратегии все звонки перенаправляем через очередь на номер меняется только номер на который перенаправляются вызовы тип стандартного изменения изменение переадресации,1541513926,3.0
3261,INC000000377397,ФосАгро-Регион,перевод звонков ,добрый день просьба входящие звонки перевести с номера на с до ч ежедневно кроме выходных с до с номера на ежедневно в пятницу с номера на номер с ч и до понедельника до ч т е понедельник четверг вх звонки с до приходят на понедельник четверг с приходят на пятница с и до понедельника приходят на и т д тип стандартного изменения изменение переадресации,1541584618,3.0
3262,INC000000377403,СОГАЗ,скорректировать распределение по стратегиям ,добрый день подсистема приоритет средний прошу с текущего момента скорректировать перенаправление вызовов по стратегиям пункт или та таймаут избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер пункт или та таймаут избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер тип стандартного изменения изменение переадресации,1541600724,3.0
3263,INC000000377406,СОГАЗ, обновление ,добавить пользователя кошелеву ксениютип стандартного изменения изменение настроек присвоения имен за номером телефоном,1541661643,3.0
3264,INC000000377787,Рускан,настроить интерфейс на роутере в под нов ,настроить интерфейс на роутере в под нового провайдера и сделать его основным просьба сконфигурировать порт сегодня в укажите исполнителя заявки для добавления в в планируем подключить роутер и проверить его работоспособность информация для настройки тип стандартного изменения изменение настроек на портах оборудования,1542023422,3.0
3265,INC000000377799,ТАКСИ МОСКВА,создать политику настроек определённых программ ,подробности в переписке на захарова д ,1542093310,3.0
3266,INC000000378286,Инвитро-информационные технологии,образ и инстукции по по ,добрый день собираемся апгрейдить по на двух для их работы в паре через пришлите ссылку на последний стабильный образ и возможно загрузчик а так же ссылку на инструкцию по апгрейду по на тип стандартного изменения предоставление по,1542615615,3.0
3267,INC000000378479,Рускан, , технические детали во вложении тип стандартного изменения операции над списками доступа ,1542875048,3.0
3268,INC000000378579,Метахим,прошу изменить ,добрый день прошу предоставить доступ в для адреса ,1543213623,3.0
3269,INC000000378780,ФосАгро-Регион,запрос на изменение данных ,добрый день просьба изменить подпись абонентов с на с с на с уважением ооо фосагро курск тел факс тип стандартного изменения изменение настроек присвоения имен за номером телефоном,1543416413,3.0
3270,INC000000378800,ФосАгро-Череповец,по с ,добрый день необходимо по с для [ ] тип стандартного изменения предоставление по,1543696038,3.0
3271,INC000000378811,Метахим,прошу добавить в доступ на влан адрес ,прошу добавить в доступ на влан адрес ,1543839255,3.0
3272,INC000000378888,ВТБ Банк Армения, для сети ,коллеги просим настроить новый для сети новый для закрытой сети системы спасибо тип стандартного изменения добавление удаление ов,1544010614,3.0
3273,INC000000378889,ВТБ Банк Армения,настройка ,коллеги просим настроить порт для исходящего трафика на спасибо тип стандартного изменения изменение настроек на портах оборудования,1544010661,3.0
3274,INC000000379978,Рускан, сделать мтс основным каналом ,нужно сделать мтс основным каналом а также провести тестирование работы запланированы на сегодня в сообщите контактные данные ответственного для добавления в ,1545740587,3.0
3276,INC000000380403,ФосАгро-Регион,о переводе телефонов в рабочие и праздничные дни ,добрый день завтра декабря г рабочий день поэтому звонки с часов декабря по часов декабря должны быть переведены с номера на номер с часов декабря г по часов января г звонки нужно перевести с номера на охрану номер с уважением ооо фосагро курск тел факс тип стандартного изменения изменение переадресации,1546006428,3.0
3277,INC000000381080,ВТБ Банк Армения, ,прошу заблокировать получение корреспонденции с адресов системы денежных переводов юнистрим кроме адреса ,1546935210,3.0
3278,INC000000381083,ВТБ Банк Армения, ,коллеги просим на здании московяна паралельно создать как сделано на здании хоренаци таким образомчто из х мест смогли либо из здании московяна либо из здании хоренаци для нас удобное время подключить тип стандартного изменения добавление удаление ов,1547013514,3.0
3279,INC000000381191,ФосАгро-Регион,прошу изменить фамилию для внутреннего номера ,добрый вечер прошу изменить фио для внутреннего номера с засимов с а на еренков м н с уважением успанова оксана владимировнаофис менеджертел группа фосагро ооо фосагро дон г ростов на дону пр т м нагибина д и оф тип стандартного изменения изменение настроек присвоения имен за номером телефоном,1547046422,3.0
3280,INC000000381483,Комплект,изменить конфигурацию роутера ,на следующих интерфейсах изменить тип стандартного изменения смена ограничения по на оборудовании ,1547195464,3.0
3281,INC000000381504,ТАКСИ МОСКВА,добавление удаленного доступа ,добрый день коллеги прошу давить доступ пользователю сабрекова гульнара рашитовна тип стандартного изменения операции над списками доступа ,1547452943,3.0
3282,INC000000381995,СОГАЗ,обновление ,обновление в санкт петербурге,1548087669,3.0
3283,INC000000382487,ТАКСИ МОСКВА,сетевая папка отдела ,прошу создать сетевую папку для отдела бухгалтерии аналогично папке экономический отдел например т е группы доступа для чтения и чтения редактирования ,1548678029,3.0
3284,INC000000382683,Кредит Европа Банк,предоставление софта для ,добрый день прошу предоставить софт для версия тип стандартного изменения предоставление по,1548834169,3.0
3285,INC000000383387,СОГАЗ, скорректировать распределение по стратегиям ,прошу с текущего момента скорректировать перенаправление вызовов по стратегиям пункт или та таймаут избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер пункт или та таймаут избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер избыток при менее х свободных с и при отсутствии свободных с перенаправляем через очередь на номер на номер меняется толь процентное распределение заранее благодарю с уважением антоненко александрруководитель направления планирования и отчетности единого контакт центра ао согаз телефон тел факс тип стандартного изменения изменение переадресации,1549443884,3.0
3286,INC000000383482,АЭРОКЛУБ, ,добрый день коллеги просьба скорректировать телефонную стратегию сибур в нерабочее время добавить скилл сибур уровня если агент сибур в статусе готов то звонок идет на него ждет секунд если не готов звонок распределяется как в настоящей стратегии принципиально что звонки ниже уровня не должны приходить на данного агента спасибо тип стандартного изменения изменение переадресации,1549527585,3.0
3287,INC000000383483,АЭРОКЛУБ, корректировка стратегий ,требуется корректировка стратегий клиентов сибур электрощит эн х шнайдерэлектрикзадача для сибура остальные клиенты по аналогиизвонок попадает в на линию сибур затем в рабочее время нет залогиненных агентов со скиллами сибур больше и сибур больше звонок без ожидания уходит на линию контакт центра и там дожидается ответа есть залогиненные агенты со скиллами сибур больше и сибур больше но нет ни одного из них со статусом готов звонок ждет секунд пока не появиться готовый агент если в очереди в этот момент окажется несколько вызовов и один из них будет вип то первым на агента упадет вип если за секунд агент не появляется то вызов уходит в др очередь где он ждет готовности любого из агентов со скиллами сибур больше сибур больше контактный центр больше контактный центр больше кто первый появиться со статусом готов тому вызов и уйдет не рабочее времясогласно текущей стратегии сибура при необходимости реализовать дополнительные метрики отчетности для возможности операционного контролятип стандартного изменения изменение переадресации,1549529280,3.0
